#{"t_start": 1749043248.6897776, "env_id": "Pendulum-v1"}
r,l,t
-125.278318,200,450.049477
-125.722398,200,450.282748
-119.572207,200,450.507938
-128.137,200,450.73939
-230.481039,200,451.948819
-119.934539,200,452.22537
-243.670423,200,452.437834
-119.220547,200,454.410195
-123.906119,200,454.632416
-243.44174,200,454.853718
-116.048829,200,455.076196
-520.68733,200,455.319866
-131.505501,200,455.546431
-260.340216,200,455.76522
-245.314017,200,455.980743
-515.108313,200,456.224548
-129.416811,200,456.457571
-120.796596,200,458.393214
-122.905046,200,458.606488
-1.108005,200,458.828546
-236.263737,200,459.047201
-386.340037,200,459.270405
-440.047785,200,459.480229
-120.079984,200,459.698336
-258.334975,200,459.910956
-127.925924,200,460.135033
-387.131413,200,460.35364
-122.310839,200,460.62515
-0.971226,200,462.550306
-252.890213,200,462.772951
-236.017284,200,462.984149
-238.024152,200,463.212258
-236.625738,200,463.428536
-239.45834,200,463.645254
-124.041878,200,463.864014
-1.38976,200,464.082195
-244.152684,200,464.30372
-116.996896,200,464.527477
-116.552218,200,466.51391
-242.930116,200,466.732618
-121.907067,200,466.949664
-1.696209,200,467.17095
-0.725492,200,467.394545
-363.05379,200,467.610718
-241.62345,200,467.825256
-117.749486,200,468.037586
